John Adams,53
Thomas Jefferson,53
Aaron Burr,45
George Clinton,65
Elbridge Gerry,68
Daniel D. Tompkins,42
John C. Calhoun,42
Martin Van Buren,50
Richard M. Johnson,56
John Tyler,50
George M. Dallas,52
Millard Fillmore,49
William R. King,66
John C. Breckinridge,36
Hannibal Hamlin,51
Andrew Johnson,56
Schuyler Colfax,45
Henry Wilson,61
William A. Wheeler,57
Chester A. Arthur,51
Thomas A. Hendricks,65
Levi P. Morton,64
Adlai Stevenson I,57
Garret Hobart,52
Theodore Roosevelt,42
Charles W. Fairbanks,52
James S. Sherman,53
Thomas R. Marshall,58
Calvin Coolidge,48
Charles G. Dawes,59
Charles Curtis,69
John Nance Garner,64
Henry A. Wallace,52
Harry S. Truman,60
Alben W. Barkley,71
Richard Nixon,40
Lyndon B. Johnson,52
Hubert Humphrey,53
Spiro Agnew,50
Gerald Ford,60
Nelson Rockefeller,66
Walter Mondale,49
George H. W. Bush,56
Dan Quayle,41
Al Gore,44
Dick Cheney,59
Joe Biden,66
Mike Pence,57